date	original_word	pinyin	english	freq_per_mil	count_in_corpus
Nov 19 2019	香港	Xiāng gǎng	Hong Kong	187.0	114
Nov 19 2019	特	tè	special/unique/distinguished/especially/unusual/very	237.0	32
Nov 19 2019	政府	zhèng fǔ	government/CL:個|个[ge4]	203.0	32
Nov 19 2019	朗	lǎng	clear/bright	15.0	31
Nov 19 2019	普	pǔ	general/popular/everywhere/universal	58.0	30
Nov 19 2019	抗议者	kàng yì zhě	protester	0.78	27
Nov 19 2019	表示	biǎo shì	to express/to show/to say/to state/to indicate/to mean	247.0	25
Nov 19 2019	大陆	Dà lù; dà lù	mainland China (reference to the PRC); continent/mainland/CL:個|个[ge4]	122.0	23
Nov 19 2019	运动	yùn dòng	to move/to exercise/sports/exercise/motion/movement/campaign/CL:場|场[chang3]	103.0	22
Nov 19 2019	内地	Nèi dì; nèi dì	mainland China (PRC excluding Hong Kong and Macau, but including islands such as Hainan)/Japan (used in Taiwan during Japanese colonization); inland/interior/hinterland	32.0	22
Nov 19 2019	警方	jǐng fāng	police	45.0	17
Nov 19 2019	生	shēng	to be born/to give birth/life/to grow/raw, uncooked	293.0	16
Nov 19 2019	场	cháng; chǎng	threshing floor/classifier for events and happenings: spell, episode, bout; large place used for a specific purpose/stage/scene (of a play)/classifier for sporting or recreational activities/classifier for number of exams	275.0	16
Nov 19 2019	称	chèn; chēng; chèng	to fit/balanced/suitable; to weigh/to state/to name/name/appellation/to praise; variant of 秤[cheng4], steelyard/Roman balance/CL:臺|台[tai2]/steelyard	143.0	16
Nov 19 2019	文件	wén jiàn	document/file/CL:份[fen4]	105.0	16
Nov 19 2019	性	xìng	nature/character/property/quality/attribute/sexuality/sex/gender/suffix forming adjective from verb/suffix forming noun from adjective, corresponding to -ness or -ity/essence/CL:個|个[ge4]	221.0	14
Nov 19 2019	法律	fǎ lu:4	law/CL:條|条[tiao2], 套[tao4], 個|个[ge4]	151.0	14
Nov 19 2019	新疆	Xīn jiāng	Xinjiang/Uighur autonomous region 新疆維吾爾自治區|新疆维吾尔自治区	31.0	14
Nov 19 2019	关税	guān shuì	customs duty/tariff	7.1	14
Nov 19 2019	之间	zhī jiān	between/among/inter-	265.0	13